iter	MAE	RMSE
0	7.632989976	10.48840444
1	7.307777768	9.975226291
2	7.157025653	9.68906767
3	7.02502107	9.436210411
4	6.850642939	9.179157019
5	6.826088052	9.10706452
6	6.731249874	8.96010359
7	6.655669698	8.825955011
8	6.592178516	8.687408722
9	6.556217999	8.622163163
10	6.509101704	8.554252456
11	6.458303688	8.459283962
12	6.416791125	8.398250537
13	6.3871791	8.340942316
14	6.361542312	8.309665921
15	6.32166764	8.250477325
16	6.274441581	8.193608773
17	6.253980347	8.14163333
18	6.240855641	8.11828493
19	6.210802728	8.083151734
20	6.16299881	8.019836632
21	6.136101694	7.980806123
22	6.110265886	7.934619085
23	6.087122294	7.899341898
24	6.064934858	7.854268265
25	6.045351635	7.823312504
26	6.008284872	7.772026585
27	5.974359143	7.727518016
28	5.941270168	7.691449868
29	5.924655719	7.659395103
30	5.900139966	7.623724982
31	5.889175217	7.612794299
32	5.850770776	7.564907108
33	5.843796855	7.552889198
34	5.833429237	7.534893679
35	5.819539018	7.517032391
36	5.79781218	7.480413825
37	5.778421072	7.455042947
38	5.761386033	7.430167607
39	5.753680339	7.420079391
40	5.735588783	7.396173476
41	5.722822849	7.381112922
42	5.70386254	7.345442221
43	5.699347371	7.339601405
44	5.688102871	7.321576659
45	5.684994279	7.316344646
46	5.680721247	7.309316815
47	5.670594857	7.291048508
48	5.646443943	7.261868099
49	5.645020445	7.257746394
